TICID,Tmag,RA,Dec,Nsector
32000460,8.44,56.197,-71.7036,22
32000625,10.98,55.988,-71.4789,16
32001054,6.86,56.195,-70.0273,26
32001057,7.03,56.2563,-70.0247,27
32032672,11.43,56.0221,-68.5124,26
32032862,12.55,56.1689,-67.886,16
32032865,12.09,56.1375,-67.8748,16
32033224,7.74,56.0776,-66.6962,22
32034254,12.54,56.3799,-68.3347,17
32034372,10.94,56.4424,-68.7166,17
32034867,12.61,56.5787,-70.3187,26
32035258,6.42,56.3494,-71.6579,16
32036415,12.11,56.8323,-68.3746,27
32036692,8.16,56.7999,-67.3906,26
32050414,13.97,57.1828,-68.6007,27
32051052,8.54,56.9924,-70.8007,19
32051091,8.4,56.9164,-70.922,27
32051273,9.29,56.925,-71.5874,15
32051872,9.35,57.2477,-70.4239,28
32052027,6.0,57.2515,-69.8786,28
32052179,10.01,57.2586,-69.3436,20
32052607,11.02,57.3141,-67.9925,19
32052608,10.36,57.3188,-67.9921,27
32052779,12.78,57.3686,-67.4647,27
32053388,7.67,57.6531,-66.3442,17
32068500,12.95,57.6256,-68.4816,29
32068637,16.7,57.5236,-68.8849,17
32068755,14.89,57.6572,-69.3492,24
32068898,13.82,57.682,-69.8246,30
32069592,10.66,57.8472,-71.67,19
32070390,10.98,58.0844,-68.7768,22
32071556,8.88,58.1546,-66.8237,19
32071753,11.01,58.1854,-67.5064,20
32072097,10.81,58.306,-68.656,23
32072196,8.37,58.2352,-68.9648,29
32072229,13.18,58.1261,-69.0767,23
32088907,8.38,58.2644,-69.6457,15
32089054,9.48,58.3193,-70.1737,13
32089522,12.98,58.29,-71.6782,30
32089857,14.05,58.591,-71.1508,13
32090046,13.71,58.4034,-70.4584,25
32090208,10.81,58.4624,-69.9267,26
32090394,10.49,58.4203,-69.2971,25
32090407,11.89,58.5261,-69.2599,13
32090440,10.21,58.5121,-69.1628,13
32090581,13.72,58.4128,-68.7421,23
32090583,13.33,58.4229,-68.7382,32
32091606,8.16,58.7223,-66.4487,27
32091784,9.93,58.8719,-67.0641,21
32092280,10.69,58.6942,-68.569,25
32092813,12.29,58.8528,-70.4176,18
32093027,13.41,58.8117,-71.176,13
32150270,9.8,59.0356,-69.7365,13
32150333,9.86,59.0167,-69.5438,13
32150334,12.35,59.0453,-69.5431,13
32150630,11.96,59.2448,-68.6259,20
32150672,9.7,59.1261,-68.4665,13
32152015,10.51,59.4867,-67.6055,25
32152605,8.03,59.4453,-69.5254,34
32152976,12.66,59.2721,-70.7286,13
32153165,10.66,59.4021,-71.3542,13
32153214,12.89,59.2965,-71.5439,13
32153309,10.72,59.3811,-71.8775,13
32153316,9.52,59.4295,-71.9024,13
32153468,9.21,59.7494,-71.5987,24
32154131,10.95,59.6294,-69.2673,13
32154146,10.09,59.8649,-69.2245,25
32154622,11.13,59.8585,-67.6764,25
32154687,8.92,59.5966,-67.517,34
33714406,11.26,60.3678,-73.6966,22
33714875,12.4,60.3684,-72.4246,31
33714944,12.37,60.3979,-72.2553,25
33715209,16.02,60.8446,-72.3348,25
33715210,10.12,60.838,-72.336,24
33715938,10.29,61.0132,-74.4534,14
33716196,8.65,60.7948,-75.1599,19
33716446,16.27,60.734,-75.9334,14
33716474,11.06,60.9622,-76.0212,23
33717073,8.3,60.9142,-77.9156,17
33717509,12.28,61.2153,-76.6514,15
33717565,16.51,61.4026,-76.4743,15
33718168,10.8,61.2046,-74.8535,20
33732017,8.72,61.435,-73.2805,13
33732557,12.56,61.7227,-72.1125,13
33733072,10.68,61.8511,-73.4282,13
33733169,14.34,61.8704,-73.6884,13
33733359,10.07,61.5137,-74.2515,24
33733803,13.39,61.7723,-75.4312,19
33734143,9.86,61.6715,-76.4052,23
33734517,8.26,61.7672,-77.5662,18
33735178,10.22,62.2581,-76.2119,16
33735382,11.06,62.0969,-75.709,19
33735626,15.47,62.0833,-75.1017,23
33765924,10.38,62.5759,-71.9495,13
33766129,10.7,62.5143,-72.4158,24
33766212,11.37,62.4037,-72.633,22
33766245,10.88,62.474,-72.7159,13
33766654,8.33,62.5543,-73.7584,24
33767134,14.48,62.5349,-74.9245,29
33767826,10.57,62.4431,-76.7078,16
33770579,16.12,63.4612,-72.3143,22
33770761,11.07,63.3029,-72.7905,13
33770766,12.68,63.3996,-72.803,13
33770773,6.95,63.2797,-72.8205,34
33770863,8.28,63.4185,-73.04,33
33831637,12.01,63.4419,-75.097,13
33831818,11.33,63.2081,-75.6249,21
33831980,11.98,63.4157,-76.0982,27
33832107,11.27,63.1802,-76.5022,16
33833289,5.49,63.6292,-75.808,29
33833443,9.7,63.5205,-75.3601,20
33833498,11.97,63.5043,-75.2257,19
33833553,10.53,63.8291,-75.1095,26
33834068,9.62,63.5732,-73.8234,25
33834447,9.03,63.77,-72.9572,13
33834484,14.11,63.838,-72.8615,34
33834502,10.29,63.8122,-72.8159,13
33834564,13.83,63.7864,-72.6418,31
33835660,12.51,64.1732,-73.6861,13
33835756,16.41,64.1356,-73.8999,19
33835925,8.22,64.1494,-74.2875,29
33836359,8.08,64.0615,-75.3439,35
33836833,9.98,63.9922,-76.7461,23
33837062,13.87,63.9281,-77.5175,13
33837347,9.79,64.4198,-77.4835,22
33837441,9.37,64.3251,-77.1699,18
33838777,10.7,64.308,-73.46,22
33839044,12.05,64.6278,-72.8289,13
33839220,10.62,64.6134,-72.3996,13
